aci:0	sin degeri:0.000000	 cos degeri:1.000000
aci:1	sin degeri:0.017444	 cos degeri:0.999848
aci:2	sin degeri:0.034882	 cos degeri:0.999391
aci:3	sin degeri:0.052309	 cos degeri:0.998631
aci:4	sin degeri:0.069721	 cos degeri:0.997567
aci:5	sin degeri:0.087112	 cos degeri:0.996199
aci:6	sin degeri:0.104476	 cos degeri:0.994527
aci:7	sin degeri:0.121808	 cos degeri:0.992554
aci:8	sin degeri:0.139103	 cos degeri:0.990278
aci:9	sin degeri:0.156356	 cos degeri:0.987701
aci:10	sin degeri:0.173561	 cos degeri:0.984823
aci:11	sin degeri:0.190713	 cos degeri:0.981646
aci:12	sin degeri:0.207808	 cos degeri:0.978170
aci:13	sin degeri:0.224839	 cos degeri:0.974396
aci:14	sin degeri:0.241802	 cos degeri:0.970326
aci:15	sin degeri:0.258691	 cos degeri:0.965960
aci:16	sin degeri:0.275501	 cos degeri:0.961301
aci:17	sin degeri:0.292228	 cos degeri:0.956349
aci:18	sin degeri:0.308866	 cos degeri:0.951106
aci:19	sin degeri:0.325409	 cos degeri:0.945573
aci:20	sin degeri:0.341854	 cos degeri:0.939753
aci:21	sin degeri:0.358194	 cos degeri:0.933647
aci:22	sin degeri:0.374426	 cos degeri:0.927257
aci:23	sin degeri:0.390544	 cos degeri:0.920584
aci:24	sin degeri:0.406543	 cos degeri:0.913632
aci:25	sin degeri:0.422418	 cos degeri:0.906401
aci:26	sin degeri:0.438164	 cos degeri:0.898895
aci:27	sin degeri:0.453778	 cos degeri:0.891115
aci:28	sin degeri:0.469253	 cos degeri:0.883064
aci:29	sin degeri:0.484585	 cos degeri:0.874744
aci:30	sin degeri:0.499770	 cos degeri:0.866158
aci:31	sin degeri:0.514803	 cos degeri:0.857309
aci:32	sin degeri:0.529679	 cos degeri:0.848198
aci:33	sin degeri:0.544394	 cos degeri:0.838830
aci:34	sin degeri:0.558943	 cos degeri:0.829206
aci:35	sin degeri:0.573323	 cos degeri:0.819330
aci:36	sin degeri:0.587528	 cos degeri:0.809204
aci:37	sin degeri:0.601554	 cos degeri:0.798832
aci:38	sin degeri:0.615396	 cos degeri:0.788218
aci:39	sin degeri:0.629052	 cos degeri:0.777363
aci:40	sin degeri:0.642516	 cos degeri:0.766272
aci:41	sin degeri:0.655785	 cos degeri:0.754948
aci:42	sin degeri:0.668854	 cos degeri:0.743393
aci:43	sin degeri:0.681720	 cos degeri:0.731613
aci:44	sin degeri:0.694378	 cos degeri:0.719610
aci:45	sin degeri:0.706825	 cos degeri:0.707388
aci:46	sin degeri:0.719057	 cos degeri:0.694951
aci:47	sin degeri:0.731070	 cos degeri:0.682302
aci:48	sin degeri:0.742861	 cos degeri:0.669446
aci:49	sin degeri:0.754425	 cos degeri:0.656386
aci:50	sin degeri:0.765760	 cos degeri:0.643126
aci:51	sin degeri:0.776862	 cos degeri:0.629671
aci:52	sin degeri:0.787727	 cos degeri:0.616024
aci:53	sin degeri:0.798353	 cos degeri:0.602189
aci:54	sin degeri:0.808736	 cos degeri:0.588172
aci:55	sin degeri:0.818873	 cos degeri:0.573975
aci:56	sin degeri:0.828760	 cos degeri:0.559604
aci:57	sin degeri:0.838396	 cos degeri:0.545062
aci:58	sin degeri:0.847776	 cos degeri:0.530354
aci:59	sin degeri:0.856898	 cos degeri:0.515485
aci:60	sin degeri:0.865760	 cos degeri:0.500460
aci:61	sin degeri:0.874358	 cos degeri:0.485282
aci:62	sin degeri:0.882690	 cos degeri:0.469956
aci:63	sin degeri:0.890753	 cos degeri:0.454487
aci:64	sin degeri:0.898546	 cos degeri:0.438880
aci:65	sin degeri:0.906065	 cos degeri:0.423139
aci:66	sin degeri:0.913308	 cos degeri:0.407270
aci:67	sin degeri:0.920273	 cos degeri:0.391277
aci:68	sin degeri:0.926958	 cos degeri:0.375164
aci:69	sin degeri:0.933361	 cos degeri:0.358938
aci:70	sin degeri:0.939481	 cos degeri:0.342602
aci:71	sin degeri:0.945314	 cos degeri:0.326162
aci:72	sin degeri:0.950859	 cos degeri:0.309623
aci:73	sin degeri:0.956116	 cos degeri:0.292989
aci:74	sin degeri:0.961081	 cos degeri:0.276267
aci:75	sin degeri:0.965754	 cos degeri:0.259460
aci:76	sin degeri:0.970133	 cos degeri:0.242574
aci:77	sin degeri:0.974217	 cos degeri:0.225615
aci:78	sin degeri:0.978004	 cos degeri:0.208587
aci:79	sin degeri:0.981494	 cos degeri:0.191495
aci:80	sin degeri:0.984685	 cos degeri:0.174345
aci:81	sin degeri:0.987576	 cos degeri:0.157142
aci:82	sin degeri:0.990167	 cos degeri:0.139892
aci:83	sin degeri:0.992456	 cos degeri:0.122598
aci:84	sin degeri:0.994444	 cos degeri:0.105268
aci:85	sin degeri:0.996129	 cos degeri:0.087905
aci:86	sin degeri:0.997511	 cos degeri:0.070516
aci:87	sin degeri:0.998589	 cos degeri:0.053105
aci:88	sin degeri:0.999363	 cos degeri:0.035678
aci:89	sin degeri:0.999834	 cos degeri:0.018240
aci:90	sin degeri:1.000000	 cos degeri:0.000796
aci:91	sin degeri:0.999861	 cos degeri:-0.016647
aci:92	sin degeri:0.999419	 cos degeri:-0.034086
aci:93	sin degeri:0.998672	 cos degeri:-0.051514
aci:94	sin degeri:0.997622	 cos degeri:-0.068927
aci:95	sin degeri:0.996268	 cos degeri:-0.086318
aci:96	sin degeri:0.994610	 cos degeri:-0.103684
aci:97	sin degeri:0.992650	 cos degeri:-0.121017
aci:98	sin degeri:0.990388	 cos degeri:-0.138314
aci:99	sin degeri:0.987825	 cos degeri:-0.155569
aci:100	sin degeri:0.984961	 cos degeri:-0.172777
aci:101	sin degeri:0.981797	 cos degeri:-0.189932
aci:102	sin degeri:0.978335	 cos degeri:-0.207029
aci:103	sin degeri:0.974575	 cos degeri:-0.224063
aci:104	sin degeri:0.970518	 cos degeri:-0.241029
aci:105	sin degeri:0.966166	 cos degeri:-0.257922
aci:106	sin degeri:0.961520	 cos degeri:-0.274736
aci:107	sin degeri:0.956581	 cos degeri:-0.291466
aci:108	sin degeri:0.951351	 cos degeri:-0.308108
aci:109	sin degeri:0.945832	 cos degeri:-0.324656
aci:110	sin degeri:0.940025	 cos degeri:-0.341105
aci:111	sin degeri:0.933932	 cos degeri:-0.357451
aci:112	sin degeri:0.927555	 cos degeri:-0.373688
aci:113	sin degeri:0.920895	 cos degeri:-0.389811
aci:114	sin degeri:0.913955	 cos degeri:-0.405815
aci:115	sin degeri:0.906737	 cos degeri:-0.421696
aci:116	sin degeri:0.899244	 cos degeri:-0.437448
aci:117	sin degeri:0.891476	 cos degeri:-0.453068
aci:118	sin degeri:0.883437	 cos degeri:-0.468549
aci:119	sin degeri:0.875130	 cos degeri:-0.483888
aci:120	sin degeri:0.866556	 cos degeri:-0.499080
aci:121	sin degeri:0.857718	 cos degeri:-0.514120
aci:122	sin degeri:0.848620	 cos degeri:-0.529004
aci:123	sin degeri:0.839263	 cos degeri:-0.543726
aci:124	sin degeri:0.829651	 cos degeri:-0.558283
aci:125	sin degeri:0.819786	 cos degeri:-0.572670
aci:126	sin degeri:0.809672	 cos degeri:-0.586883
aci:127	sin degeri:0.799311	 cos degeri:-0.600917
aci:128	sin degeri:0.788707	 cos degeri:-0.614769
aci:129	sin degeri:0.777864	 cos degeri:-0.628433
aci:130	sin degeri:0.766783	 cos degeri:-0.641906
aci:131	sin degeri:0.755470	 cos degeri:-0.655184
aci:132	sin degeri:0.743926	 cos degeri:-0.668262
